open_time,open,high,low,close,volume,quote_volume
1704067200000,259.70000000,263.00000000,257.30000000,258.30000000,12996.48200000,3375512.14500000
1704081600000,258.20000000,269.90000000,255.60000000,266.00000000,27296.56200000,7206372.69730000
1704096000000,265.90000000,266.30000000,261.90000000,264.30000000,24359.47700000,6444099.46320000
1704110400000,264.40000000,267.00000000,261.80000000,264.20000000,11108.44100000,2932877.13920000
1704124800000,264.30000000,267.20000000,261.40000000,266.80000000,10209.99900000,2701128.93510000
1704139200000,266.80000000,267.80000000,264.00000000,267.80000000,14026.93300000,3727136.99460000
1704153600000,267.80000000,271.10000000,264.60000000,266.60000000,29064.44400000,7780599.64080000
1704168000000,266.60000000,269.00000000,265.60000000,266.40000000,13730.51300000,3670295.71330000
1704182400000,266.30000000,269.50000000,261.80000000,262.70000000,26951.08900000,7159825.22460000
1704196800000,262.70000000,264.30000000,256.50000000,258.00000000,20411.90200000,5321422.12060000
1704211200000,258.00000000,259.00000000,255.40000000,257.40000000,17795.16700000,4572369.19190000
1704225600000,257.40000000,258.60000000,254.10000000,257.10000000,11885.44400000,3044391.25870000
1704240000000,257.10000000,259.30000000,255.30000000,258.50000000,10653.86900000,2743843.94990000
1704254400000,258.50000000,268.00000000,258.40000000,261.20000000,33418.95800000,8810417.91220000
1704268800000,261.10000000,264.70000000,246.30000000,250.20000000,45527.20800000,11696574.18170000
1704283200000,250.20000000,250.30000000,211.30000000,236.10000000,91462.47500000,21127709.84860000
1704297600000,236.00000000,237.30000000,230.20000000,232.30000000,22641.41300000,5300247.12050000
1704312000000,232.20000000,235.30000000,232.10000000,234.00000000,10575.48800000,2472199.13360000
1704326400000,234.00000000,238.20000000,232.10000000,235.90000000,14412.25000000,3393021.14120000
1704340800000,236.00000000,237.90000000,234.10000000,234.20000000,10026.55400000,2370788.99080000
1704355200000,234.30000000,236.20000000,232.40000000,235.60000000,11323.61500000,2656621.08870000
1704369600000,235.60000000,239.60000000,234.40000000,238.70000000,13666.13400000,3233906.70020000
1704384000000,238.70000000,238.90000000,235.50000000,236.70000000,14862.86200000,3524097.38980000
1704398400000,236.80000000,240.30000000,236.60000000,239.50000000,10810.66300000,2578869.19600000
1704412800000,239.60000000,240.00000000,228.80000000,235.10000000,17901.15200000,4205941.33060000
1704427200000,235.10000000,236.50000000,233.50000000,234.00000000,9148.24100000,2149248.47850000
1704441600000,233.90000000,236.80000000,230.50000000,232.00000000,14295.83300000,3343949.62090000
1704456000000,232.00000000,235.10000000,229.70000000,233.00000000,16984.05800000,3949635.55770000
1704470400000,233.00000000,235.60000000,230.20000000,235.30000000,13368.99700000,3120386.59390000
1704484800000,235.30000000,242.70000000,233.30000000,239.30000000,23649.14200000,5630658.63060000
1704499200000,239.20000000,243.50000000,238.20000000,242.00000000,18380.79700000,4427622.98560000
1704513600000,241.90000000,242.80000000,230.80000000,235.10000000,25034.60400000,5890559.86170000
1704528000000,235.20000000,236.60000000,233.90000000,235.50000000,7142.75300000,1681066.53090000
1704542400000,235.40000000,236.60000000,234.00000000,235.90000000,6450.59300000,1519850.13300000
1704556800000,235.80000000,238.10000000,235.10000000,237.40000000,6432.26700000,1521768.01140000
1704571200000,237.40000000,238.00000000,233.90000000,236.10000000,5928.65900000,1399329.23730000
1704585600000,236.10000000,237.90000000,234.80000000,235.70000000,6522.78900000,1542083.40510000
1704600000000,235.70000000,238.20000000,235.50000000,238.10000000,5849.25700000,1384231.13240000
1704614400000,238.10000000,240.00000000,234.70000000,236.10000000,10056.47300000,2381286.48740000
1704628800000,236.00000000,240.00000000,235.00000000,236.80000000,13078.44800000,3108616.92580000
1704643200000,236.80000000,238.00000000,233.20000000,236.50000000,10293.81100000,2421688.01210000
1704657600000,236.50000000,237.00000000,229.70000000,232.50000000,13533.36600000,3147272.91750000
1704672000000,232.50000000,233.60000000,221.00000000,227.50000000,31449.99900000,7142800.79930000
1704686400000,227.60000000,240.70000000,226.30000000,235.60000000,57971.06800000,13535646.99950000
1704700800000,235.70000000,238.90000000,233.90000000,237.70000000,14996.89600000,3543014.00460000
1704715200000,237.90000000,240.50000000,236.50000000,239.00000000,24471.65400000,5841274.82470000
1704729600000,239.00000000,247.20000000,238.20000000,245.40000000,19309.14500000,4693278.59960000
1704744000000,245.50000000,256.00000000,243.80000000,253.90000000,28969.79300000,7286391.12420000
1704758400000,254.00000000,257.60000000,246.40000000,248.40000000,21425.41800000,5383899.25590000
1704772800000,248.40000000,250.10000000,247.00000000,250.10000000,9474.40000000,2357275.67150000
1704787200000,250.00000000,251.50000000,245.60000000,251.30000000,12366.92600000,3074516.88770000
1704801600000,251.20000000,252.90000000,240.50000000,248.00000000,38354.37300000,9524335.36810000
1704816000000,248.00000000,250.30000000,244.50000000,246.30000000,17422.04100000,4313837.53360000
1704830400000,246.40000000,252.50000000,239.40000000,244.80000000,47359.83500000,11617880.37570000
1704844800000,244.70000000,247.80000000,243.80000000,246.00000000,12246.39500000,3004851.68280000
1704859200000,246.10000000,246.20000000,242.30000000,242.80000000,7450.49000000,1817126.50050000
1704873600000,242.90000000,245.10000000,239.20000000,241.60000000,14147.89300000,3433297.38610000
1704888000000,241.60000000,242.20000000,233.00000000,240.60000000,26481.77400000,6300017.46350000
1704902400000,240.50000000,249.30000000,239.30000000,247.50000000,17909.30900000,4378884.27520000
1704916800000,247.40000000,260.20000000,241.80000000,254.70000000,45587.60300000,11442597.27980000
1704931200000,254.80000000,259.90000000,251.80000000,257.40000000,27048.38200000,6884101.19300000
1704945600000,257.40000000,258.40000000,250.40000000,253.60000000,12122.90400000,3083877.05640000
1704960000000,253.60000000,277.90000000,253.00000000,276.80000000,48715.85100000,12815735.62720000
1704974400000,276.70000000,289.40000000,268.60000000,275.20000000,140727.48100000,39200011.71860000
1704988800000,275.20000000,282.40000000,267.40000000,278.50000000,45436.50700000,12464767.62850000
1705003200000,278.50000000,280.30000000,270.70000000,276.10000000,17862.66500000,4912782.98210000
1705017600000,276.10000000,294.80000000,271.60000000,293.40000000,60471.95500000,17040950.60220000
1705032000000,293.40000000,298.60000000,288.30000000,292.30000000,83200.51600000,24385509.35570000
1705046400000,292.30000000,293.30000000,281.00000000,282.50000000,43506.43300000,12410415.33400000
1705060800000,282.50000000,285.40000000,273.20000000,274.40000000,54952.93700000,15422942.11840000
1705075200000,274.30000000,277.80000000,260.30000000,265.70000000,44000.86600000,11793596.79930000
1705089600000,265.70000000,267.30000000,250.10000000,259.30000000,35983.41400000,9305735.88390000
1705104000000,259.30000000,260.80000000,250.80000000,258.20000000,37102.65900000,9526271.88160000
1705118400000,258.30000000,262.50000000,258.00000000,260.10000000,14870.65000000,3876182.42840000
1705132800000,260.00000000,261.40000000,254.70000000,255.90000000,28245.99600000,7263774.30500000
1705147200000,255.90000000,257.30000000,252.00000000,255.20000000,28148.93800000,7158186.88600000
1705161600000,255.10000000,255.30000000,251.60000000,253.80000000,16532.13000000,4187472.72690000
1705176000000,253.70000000,255.60000000,253.10000000,254.10000000,8775.15100000,2233961.02800000
1705190400000,254.10000000,259.10000000,251.80000000,256.40000000,19182.62800000,4918449.37670000
1705204800000,256.40000000,257.20000000,253.00000000,255.20000000,9859.12400000,2513063.91330000
1705219200000,255.20000000,257.80000000,253.50000000,255.90000000,16432.20800000,4200168.19300000
1705233600000,256.00000000,257.10000000,252.60000000,254.00000000,10782.41800000,2740345.70620000
1705248000000,253.90000000,254.80000000,248.90000000,249.60000000,11194.03100000,2825134.08980000
1705262400000,249.60000000,252.30000000,245.10000000,245.70000000,14327.97200000,3565006.84270000
1705276800000,245.70000000,254.40000000,245.10000000,253.30000000,11881.48300000,2981696.38220000
1705291200000,253.40000000,254.20000000,250.00000000,251.30000000,7244.37200000,1826759.66760000
1705305600000,251.40000000,256.80000000,250.80000000,255.90000000,16860.42700000,4288102.02920000
1705320000000,255.90000000,257.80000000,248.00000000,248.80000000,19628.24200000,4961682.10870000
1705334400000,248.70000000,253.70000000,248.70000000,252.10000000,7871.23400000,1979675.36730000
1705348800000,252.20000000,253.30000000,247.80000000,250.20000000,5371.83500000,1348130.97550000
1705363200000,250.20000000,255.70000000,248.90000000,253.80000000,15077.93300000,3803551.09180000
1705377600000,253.80000000,255.70000000,250.20000000,251.40000000,12955.13100000,3280127.74180000
1705392000000,251.50000000,255.40000000,250.90000000,252.70000000,8217.12600000,2083132.36510000
1705406400000,252.60000000,254.80000000,249.00000000,253.90000000,11476.87700000,2898614.27170000
1705420800000,253.90000000,255.00000000,251.40000000,253.60000000,5209.84400000,1319603.92280000
1705435200000,253.50000000,256.30000000,250.80000000,251.20000000,12982.39900000,3292064.77120000
1705449600000,251.20000000,251.50000000,249.50000000,249.60000000,16875.08000000,4225257.49690000
1705464000000,249.70000000,250.60000000,246.10000000,246.30000000,10246.40200000,2544130.66670000
1705478400000,246.30000000,249.20000000,245.40000000,245.70000000,23358.67700000,5765253.26080000
1705492800000,245.70000000,246.60000000,241.10000000,242.50000000,27404.44100000,6694255.05620000
1705507200000,242.50000000,244.80000000,240.70000000,243.40000000,24647.91400000,5987761.87940000
1705521600000,243.30000000,245.00000000,242.60000000,244.20000000,5847.53300000,1426840.25700000
1705536000000,244.20000000,245.10000000,241.20000000,242.40000000,6238.83300000,1518599.43410000
1705550400000,242.40000000,244.60000000,242.10000000,244.00000000,6209.53000000,1510035.27690000
1705564800000,243.90000000,244.50000000,239.20000000,241.30000000,12142.91700000,2924984.77710000
1705579200000,241.30000000,242.60000000,238.80000000,241.80000000,8722.64100000,2099077.85050000
1705593600000,241.90000000,242.30000000,233.20000000,235.10000000,29162.16500000,6903416.70450000
1705608000000,235.10000000,238.00000000,234.40000000,237.70000000,8628.00600000,2039071.46420000
1705622400000,237.70000000,238.20000000,231.20000000,234.80000000,12316.90800000,2893225.42750000
1705636800000,234.70000000,237.90000000,234.60000000,236.70000000,4744.11700000,1121175.90860000
1705651200000,236.60000000,238.20000000,236.50000000,237.20000000,3527.56200000,837245.33010000
1705665600000,237.20000000,237.30000000,232.70000000,234.40000000,12834.37600000,3013463.46270000
1705680000000,234.50000000,236.30000000,226.50000000,235.90000000,34112.14900000,7916962.07850000
1705694400000,235.80000000,237.20000000,234.80000000,236.80000000,8674.70400000,2046282.11540000
1705708800000,236.80000000,238.10000000,235.20000000,236.70000000,5927.34300000,1403040.65900000
1705723200000,236.70000000,237.40000000,235.60000000,236.40000000,2813.32100000,665714.55600000
1705737600000,236.30000000,237.00000000,235.00000000,236.90000000,3932.33800000,927657.60600000
1705752000000,237.00000000,238.60000000,236.30000000,237.60000000,6883.30000000,1636415.79980000
1705766400000,237.50000000,238.30000000,236.20000000,238.20000000,2923.02100000,693850.69610000
1705780800000,238.20000000,240.00000000,237.90000000,239.10000000,4581.96200000,1095885.41080000
1705795200000,239.00000000,242.30000000,238.70000000,241.10000000,7098.87300000,1708644.85410000
1705809600000,241.10000000,241.10000000,238.40000000,240.10000000,6401.22600000,1533582.46400000
1705824000000,240.10000000,240.50000000,239.10000000,239.30000000,2442.53200000,585774.92560000
