open_time,open,high,low,close,volume,quote_volume
1704067200000,42283.58000000,42775.00000000,42230.08000000,42330.49000000,3948.08335000,167818570.56928170
1704081600000,42330.50000000,42500.00000000,42180.77000000,42492.46000000,2706.99880000,114643199.90455160
1704096000000,42492.46000000,42762.39000000,42452.58000000,42690.20000000,2948.80274000,125745887.26790690
1704110400000,42690.21000000,42847.07000000,42580.00000000,42783.05000000,2936.44406000,125358722.17950020
1704124800000,42783.05000000,43550.00000000,42664.42000000,43517.99000000,5686.97164000,244970557.19094900
1704139200000,43517.98000000,44184.10000000,43361.60000000,44179.55000000,8946.99844000,391458744.91581200
1704153600000,44179.55000000,45500.00000000,44148.34000000,45402.38000000,17093.28659000,767967116.49714790
1704168000000,45402.38000000,45643.75000000,45121.96000000,45455.53000000,8388.42302000,380172685.01871630
1704182400000,45455.52000000,45879.63000000,45200.00000000,45433.99000000,10027.39458000,457314275.47629890
1704196800000,45433.99000000,45800.00000000,44833.33000000,45184.82000000,13236.12915000,600137218.94038450
1704211200000,45184.83000000,45399.84000000,44790.96000000,45039.49000000,9745.60445000,439524931.72505880
1704225600000,45039.49000000,45297.26000000,44600.00000000,44946.91000000,6655.56882000,299215594.16546980
1704240000000,44946.91000000,45410.91000000,44862.11000000,45262.69000000,4750.68596000,214685701.86475190
1704254400000,45262.70000000,45384.84000000,44940.93000000,45011.77000000,4691.11517000,212059728.48829410
1704268800000,45011.77000000,45500.00000000,43500.00000000,43702.88000000,13237.52778000,591986412.97008640
1704283200000,43702.89000000,43716.00000000,40750.00000000,43000.01000000,35484.15210000,1501608148.73156590
1704297600000,43000.01000000,43567.92000000,42000.00000000,42596.67000000,16895.34192000,724424429.28850240
1704312000000,42596.66000000,42966.27000000,42518.70000000,42845.23000000,6135.72880000,262340142.40103140
1704326400000,42845.23000000,43220.56000000,42613.77000000,43102.80000000,5488.13855000,235508699.51709560
1704340800000,43102.79000000,43273.08000000,42756.97000000,42763.08000000,5443.39629000,234500564.01194510
1704355200000,42763.08000000,43233.81000000,42616.28000000,43176.32000000,6746.40949000,289821653.73232380
1704369600000,43176.33000000,44329.99000000,43097.06000000,44051.10000000,11599.01023000,506197358.73971750
1704384000000,44051.10000000,44437.50000000,43777.86000000,43956.48000000,9399.52176000,413991311.90482870
1704398400000,43956.48000000,44729.58000000,43890.90000000,44151.10000000,9361.58702000,415075771.58772410
1704412800000,44151.10000000,44284.00000000,42450.00000000,43465.21000000,11721.50264000,510733655.15033970
1704427200000,43465.21000000,43926.00000000,43187.89000000,43777.47000000,4949.61031000,215887954.11159830
1704441600000,43777.48000000,44324.80000000,43433.00000000,43771.34000000,7055.63723000,309990253.97910870
1704456000000,43771.34000000,44110.07000000,43100.00000000,43500.01000000,10044.28040000,439370834.67952650
1704470400000,43500.01000000,43808.07000000,43100.46000000,43600.00000000,7460.07613000,324206822.25417550
1704484800000,43600.00000000,44357.46000000,43580.51000000,44145.11000000,6844.14656000,300764404.19396680
1704499200000,44145.12000000,44214.42000000,43812.50000000,43931.10000000,3123.46193000,137401026.75899970
1704513600000,43931.10000000,43971.10000000,43397.05000000,43653.20000000,4242.79756000,185157986.33553090
1704528000000,43653.20000000,43771.10000000,43551.28000000,43671.96000000,2449.54997000,106967541.82733230
1704542400000,43671.97000000,43920.08000000,43527.27000000,43867.17000000,2610.13838000,114246426.62928590
1704556800000,43867.17000000,44148.58000000,43828.50000000,43906.36000000,2971.24432000,130557720.92634000
1704571200000,43906.35000000,43980.00000000,43611.19000000,43968.32000000,2437.86928000,106882181.01411730
1704585600000,43968.32000000,44259.29000000,43833.40000000,43940.41000000,3397.43777000,149621821.87201380
1704600000000,43940.41000000,44100.00000000,43843.52000000,44080.00000000,2347.11787000,103252744.74618600
1704614400000,44080.00000000,44167.81000000,43880.65000000,44061.10000000,3023.73501000,133106227.94436450
1704628800000,44061.10000000,44480.59000000,43945.15000000,44047.57000000,5972.98911000,264377730.13690270
1704643200000,44047.57000000,44262.53000000,43700.00000000,44244.77000000,3590.89146000,158125762.35711880
1704657600000,44244.77000000,44269.92000000,43572.09000000,43929.02000000,4691.67958000,206150809.06756240
1704672000000,43929.01000000,43986.00000000,43175.00000000,43518.20000000,7371.99098000,321147967.40255880
1704686400000,43518.20000000,44341.80000000,43430.79000000,43974.55000000,7157.43221000,313769741.49041900
1704700800000,43974.55000000,44688.00000000,43641.73000000,44635.99000000,6636.26767000,292836484.50937530
1704715200000,44636.00000000,45333.00000000,44350.00000000,44963.04000000,17212.53878000,773408314.31234980
1704729600000,44963.04000000,47248.99000000,44793.97000000,46979.35000000,24462.97732000,1129425396.30399860
1704744000000,46979.36000000,47207.16000000,46653.84000000,46951.04000000,9973.36893000,468184246.66280590
1704758400000,46951.04000000,47150.00000000,46230.00000000,46926.96000000,10102.12931000,471883111.24575890
1704772800000,46926.96000000,46940.00000000,46599.43000000,46825.51000000,4707.40981000,220181766.26762860
1704787200000,46825.52000000,46874.94000000,46381.10000000,46615.99000000,6018.83491000,280345430.25477020
1704801600000,46616.00000000,47051.21000000,45450.00000000,46868.09000000,15811.82358000,737352850.79581130
1704816000000,46868.08000000,46975.00000000,46500.00000000,46876.01000000,7310.48299000,341656130.55380750
1704830400000,46876.00000000,47972.00000000,44748.67000000,46110.00000000,25976.98557000,1200022783.69061980
1704844800000,46110.00000000,46249.14000000,45622.00000000,46117.10000000,6964.52629000,319977055.83457580
1704859200000,46117.10000000,46186.00000000,45734.56000000,45757.98000000,4441.30134000,204129005.32268100
1704873600000,45757.98000000,45861.10000000,45000.00000000,45515.89000000,8371.11286000,381237575.73571250
1704888000000,45515.88000000,45662.01000000,44300.36000000,45546.40000000,17519.34998000,789410439.66782090
1704902400000,45546.39000000,46666.00000000,45173.97000000,46489.18000000,17808.51212000,820236352.65579940
1704916800000,46489.19000000,47695.93000000,44800.00000000,46653.99000000,34806.60944000,1608819052.49617760
1704931200000,46654.00000000,46750.00000000,46200.00000000,46502.16000000,7964.91500000,370461309.26855600
1704945600000,46502.17000000,46507.08000000,45618.10000000,46101.40000000,7551.87335000,348167834.27221590
1704960000000,46101.40000000,47150.00000000,46052.00000000,47060.00000000,8538.48554000,397952645.26616130
1704974400000,47059.99000000,48969.48000000,46463.19000000,46783.78000000,36318.80534000,1733428829.81931850
1704988800000,46783.77000000,47022.07000000,45606.06000000,46692.30000000,19172.26590000,886726189.94142960
1705003200000,46692.29000000,46975.00000000,46084.69000000,46339.16000000,7923.98447000,368402796.46062070
1705017600000,46339.16000000,46515.53000000,45898.00000000,45994.00000000,5377.44001000,248268472.56451270
1705032000000,45994.01000000,46366.00000000,45742.49000000,46008.19000000,5766.26871000,265453009.29745170
1705046400000,46008.19000000,46267.00000000,45537.37000000,45954.35000000,7038.70566000,323262832.20101510
1705060800000,45954.35000000,46109.00000000,44333.44000000,44462.01000000,19196.21655000,868350862.18946870
1705075200000,44462.00000000,44675.88000000,43212.00000000,43472.55000000,26388.04032000,1154636271.42647980
1705089600000,43472.56000000,43981.10000000,41500.00000000,42782.73000000,22561.26582000,967512287.89712890
1705104000000,42782.74000000,42997.29000000,42436.12000000,42609.94000000,9945.53429000,424718360.76519470
1705118400000,42609.94000000,43254.03000000,42555.84000000,43102.97000000,6237.82222000,268135835.32530240
1705132800000,43102.97000000,43254.96000000,42509.11000000,42624.00000000,6962.30044000,298353967.30504840
1705147200000,42624.01000000,43257.00000000,42505.00000000,43154.48000000,6063.35625000,259713538.25878140
1705161600000,43154.48000000,43185.00000000,42724.39000000,42786.25000000,4181.84325000,179476351.94937620
1705176000000,42786.25000000,43040.01000000,42699.52000000,42847.99000000,2727.61819000,116972557.94946310
1705190400000,42847.99000000,42890.23000000,42643.98000000,42681.82000000,2769.17313000,118375249.90784930
1705204800000,42681.82000000,43060.00000000,42562.56000000,43011.44000000,3036.75324000,130051165.78846140
1705219200000,43011.44000000,43079.00000000,42759.34000000,42829.99000000,2885.27669000,123816303.05235630
1705233600000,42829.99000000,43005.25000000,42710.00000000,42904.38000000,3635.86614000,155771782.46315790
1705248000000,42904.39000000,43010.84000000,42632.59000000,42660.00000000,4024.36820000,172531341.09793110
1705262400000,42660.00000000,42745.98000000,41720.00000000,41732.35000000,11876.97154000,501666939.94793700
1705276800000,41732.35000000,42640.00000000,41718.05000000,42565.99000000,5828.29771000,246286468.02867750
1705291200000,42565.99000000,42824.68000000,42499.01000000,42714.78000000,4383.51739000,186966410.96613380
1705305600000,42714.78000000,42775.00000000,42540.00000000,42697.99000000,3812.52325000,162643280.50548050
1705320000000,42698.00000000,42958.03000000,42163.32000000,42278.99000000,8595.73488000,365344802.55524130
1705334400000,42278.99000000,43400.43000000,42249.00000000,42992.67000000,12331.30651000,530571655.62214910
1705348800000,42992.67000000,43114.45000000,42342.18000000,42511.10000000,5318.51329000,227170293.43042050
1705363200000,42511.10000000,42939.50000000,42466.88000000,42924.56000000,4025.27939000,171802732.76518250
1705377600000,42924.57000000,42946.05000000,42606.92000000,42791.13000000,3648.24949000,156073869.86907790
1705392000000,42791.14000000,43153.66000000,42720.06000000,42900.54000000,4849.24572000,208167442.48782930
1705406400000,42900.55000000,43314.73000000,42050.00000000,43252.67000000,17967.98589000,766956364.04217890
1705420800000,43252.45000000,43434.00000000,42834.29000000,43166.11000000,7723.95687000,333173416.63789770
1705435200000,43166.10000000,43578.01000000,43060.69000000,43137.95000000,6831.02853000,295773324.25690390
1705449600000,43137.94000000,43198.00000000,42844.98000000,42849.00000000,3711.95254000,159745318.64687030
1705464000000,42849.00000000,42925.49000000,42619.60000000,42655.94000000,3612.23610000,154624492.37501210
1705478400000,42655.95000000,42850.55000000,42564.00000000,42680.16000000,4412.74724000,188575965.72102890
1705492800000,42680.16000000,42926.02000000,42365.58000000,42482.79000000,9542.90182000,406703190.09718170
1705507200000,42482.80000000,42745.99000000,42200.69000000,42611.11000000,6233.49263000,264581614.39950050
