open_time,open,high,low,close,volume,quote_volume
1704067200000,8.20300000,8.32300000,8.12100000,8.14800000,702684.48000000,5789235.97489000
1704081600000,8.14700000,8.17800000,8.06100000,8.17000000,776099.77000000,6309734.82536000
1704096000000,8.16900000,8.27000000,8.14000000,8.24000000,603663.90000000,4957935.83583000
1704110400000,8.24000000,8.38200000,8.20800000,8.38200000,746441.27000000,6183045.04108000
1704124800000,8.38200000,8.59800000,8.30200000,8.59400000,1385839.37000000,11741203.79132000
1704139200000,8.59300000,8.63000000,8.46400000,8.59500000,1054073.44000000,9017306.63245000
1704153600000,8.59400000,8.76300000,8.53800000,8.67700000,1196047.91000000,10355647.20641000
1704168000000,8.67700000,8.70500000,8.61500000,8.70300000,766434.21000000,6640507.23506000
1704182400000,8.70200000,8.80600000,8.59600000,8.64600000,1542553.71000000,13459870.16877000
1704196800000,8.64600000,8.75300000,8.39600000,8.41900000,1690319.94000000,14468599.83209000
1704211200000,8.41800000,8.50700000,8.36300000,8.43700000,959562.31000000,8094795.01810000
1704225600000,8.43800000,8.48300000,8.31700000,8.41100000,637348.23000000,5357733.71015000
1704240000000,8.40800000,8.55000000,8.38700000,8.44100000,566032.33000000,4793620.35853000
1704254400000,8.44000000,8.57500000,8.43100000,8.44800000,780420.29000000,6638913.71966000
1704268800000,8.44700000,8.55000000,8.08000000,8.13500000,1682829.62000000,14037275.40731000
1704283200000,8.13600000,8.14900000,6.50000000,7.76600000,8514597.73000000,63216618.17389000
1704297600000,7.76700000,7.78800000,7.53000000,7.68300000,2048230.03000000,15764037.56589000
1704312000000,7.68300000,7.81600000,7.58100000,7.62600000,881849.94000000,6806932.13432000
1704326400000,7.62600000,7.69800000,7.46900000,7.64300000,854254.55000000,6485989.23190000
1704340800000,7.64600000,7.75000000,7.59700000,7.59700000,1010601.78000000,7762854.64701000
1704355200000,7.59700000,7.71400000,7.50400000,7.66800000,1416959.46000000,10789251.79783000
1704369600000,7.67100000,7.99000000,7.63300000,7.88600000,2083903.20000000,16228364.13015000
1704384000000,7.88600000,7.97400000,7.77800000,7.88300000,1266069.79000000,9954875.44530000
1704398400000,7.88300000,7.99900000,7.81200000,7.87900000,869120.49000000,6871931.99569000
1704412800000,7.87900000,7.95400000,7.52500000,7.70600000,1591491.10000000,12296183.14518000
1704427200000,7.70400000,7.74300000,7.61600000,7.62000000,1090075.97000000,8368931.46775000
1704441600000,7.62000000,7.67300000,7.43000000,7.45200000,1636003.98000000,12389782.79731000
1704456000000,7.45100000,7.53500000,7.24400000,7.35100000,1755730.32000000,12992491.01694000
1704470400000,7.35100000,7.38800000,7.17800000,7.30200000,972031.95000000,7102393.38417000
1704484800000,7.30300000,7.45000000,7.29600000,7.45000000,585921.29000000,4314706.53162000
1704499200000,7.44800000,7.44800000,7.28800000,7.29600000,558450.43000000,4108789.06527000
1704513600000,7.29900000,7.34000000,6.94300000,7.11800000,1387698.28000000,9829059.47661000
1704528000000,7.11700000,7.22400000,7.07100000,7.19300000,657002.64000000,4711106.73103000
1704542400000,7.19200000,7.27000000,7.10200000,7.23700000,597138.98000000,4303434.61977000
