open_time,open,high,low,close,volume,quote_volume
1712044800000,0.30000000,0.84000000,0.30000000,0.61800000,634287354.70000000,370198244.73942000
1712059200000,0.61800000,0.77800000,0.59300000,0.68900000,402117606.64000000,278693190.02113000
1712073600000,0.68900000,0.91300000,0.68800000,0.87200000,375967647.01000000,307634017.52160000
1712088000000,0.87200000,0.87800000,0.75200000,0.77500000,138339303.41000000,114593474.99470000
1712102400000,0.77500000,0.89200000,0.70300000,0.87100000,205056550.94000000,165392444.22467000
1712116800000,0.87100000,0.92500000,0.78500000,0.91900000,127762721.37000000,107508704.27103000
1712131200000,0.91800000,0.96600000,0.86500000,0.90200000,218985592.89000000,201688567.46625000
1712145600000,0.90200000,1.22000000,0.85400000,1.20100000,336005655.55000000,337841789.65877000
1712160000000,1.20200000,1.32000000,1.05300000,1.10800000,345756664.26000000,409064288.65503000
1712174400000,1.10800000,1.15700000,1.04500000,1.13400000,105846133.27000000,117078663.08031000
1712188800000,1.13400000,1.16300000,0.95000000,0.95300000,119148853.53000000,126236639.72003000
1712203200000,0.95200000,1.07300000,0.90700000,1.00300000,134264754.39000000,133029301.36590000
1712217600000,1.00300000,1.16800000,0.95100000,1.12600000,136142140.52000000,145311287.59922000
1712232000000,1.12600000,1.15800000,1.03000000,1.03600000,109670856.18000000,120930058.43004000
1712246400000,1.03600000,1.06300000,0.97200000,1.00200000,76416798.28000000,78116649.95914000
1712260800000,1.00200000,1.00700000,0.92600000,0.97000000,71274218.29000000,68994507.44367000
1712275200000,0.97000000,1.04400000,0.91500000,0.95600000,100559240.27000000,97555018.87758000
1712289600000,0.95600000,1.00000000,0.87800000,0.90600000,70197093.65000000,65926402.28978000
1712304000000,0.90600000,0.95400000,0.86100000,0.87900000,71746854.42000000,65238012.95479000
1712318400000,0.87900000,0.99500000,0.86800000,0.96500000,106981185.84000000,100151387.12096000
1712332800000,0.96500000,1.03000000,0.94800000,0.97700000,79020601.41000000,78253826.46605000
1712347200000,0.97700000,1.06900000,0.97700000,1.01800000,73723751.39000000,75722046.01639000
1712361600000,1.01800000,1.04900000,0.96200000,0.98900000,54901464.70000000,54770858.10610000
1712376000000,0.98900000,1.15600000,0.97000000,1.12900000,101076732.75000000,109015282.85327000
1712390400000,1.12900000,1.13000000,1.06100000,1.11200000,76528837.68000000,83847546.63708000
1712404800000,1.11100000,1.19400000,1.06300000,1.15200000,101061969.75000000,113480146.27017000
1712419200000,1.15100000,1.16700000,1.10500000,1.12200000,51001348.82000000,57746399.04842000
1712433600000,1.12200000,1.13900000,1.08500000,1.08900000,30980209.33000000,34216598.36679000
1712448000000,1.08900000,1.11000000,1.05900000,1.10800000,49633567.25000000,54004938.52297000
1712462400000,1.10700000,1.24800000,1.09700000,1.21000000,108737115.33000000,128710122.90450000
1712476800000,1.21000000,1.25000000,1.15800000,1.22700000,87467371.23000000,105832606.28460000
1712491200000,1.22800000,1.27100000,1.16800000,1.25900000,83112990.83000000,101383858.13311000
1712505600000,1.26000000,1.26200000,1.17400000,1.18000000,58390554.07000000,71242011.94589000
1712520000000,1.18100000,1.20500000,1.16000000,1.19000000,29285652.53000000,34589964.27708000
1712534400000,1.19100000,1.19100000,1.13800000,1.15700000,43246351.97000000,50132856.91432000
1712548800000,1.15800000,1.18900000,1.11600000,1.11900000,42949029.04000000,49406382.31120000
1712563200000,1.11900000,1.13900000,1.07000000,1.11400000,86768470.63000000,96473248.68392000
1712577600000,1.11400000,1.36000000,1.11300000,1.24400000,266954439.66000000,341048028.56041000
1712592000000,1.24300000,1.28200000,1.24100000,1.28000000,39923019.55000000,50353042.39598000
1712606400000,1.28000000,1.32500000,1.27000000,1.29300000,46777325.12000000,60594652.42291000
1712620800000,1.29300000,1.39400000,1.29200000,1.37000000,88987995.74000000,119564221.77650000
1712635200000,1.37100000,1.40500000,1.28900000,1.29100000,100761246.30000000,136623169.69712000
1712649600000,1.29100000,1.33000000,1.24500000,1.28100000,101584163.23000000,130644757.03811000
1712664000000,1.28200000,1.28200000,1.20500000,1.24900000,69375761.97000000,86311076.56004000
1712678400000,1.25000000,1.25000000,1.19200000,1.24800000,41961311.48000000,51249133.31742000
1712692800000,1.24800000,1.25000000,1.20300000,1.24100000,26253937.97000000,32332963.25296000
1712707200000,1.24100000,1.33500000,1.22300000,1.32400000,77907138.12000000,99848493.54188000
1712721600000,1.32500000,1.41800000,1.32300000,1.38100000,96398193.83000000,132171696.46583000
1712736000000,1.38100000,1.45700000,1.34100000,1.36000000,108734294.99000000,152284918.80049000
1712750400000,1.36000000,1.45000000,1.30200000,1.44100000,131620307.59000000,181406431.77005000
1712764800000,1.44100000,1.51000000,1.40800000,1.41300000,114049434.28000000,166766937.12746000
1712779200000,1.41400000,1.47400000,1.39300000,1.46100000,43907361.24000000,62864176.15135000
1712793600000,1.46100000,1.49800000,1.40200000,1.43300000,61892821.19000000,89957349.11970000
1712808000000,1.43300000,1.46300000,1.37900000,1.40500000,48021714.26000000,68165496.05195000
1712822400000,1.40600000,1.52300000,1.38800000,1.45800000,90475264.23000000,133221465.72718000
1712836800000,1.45800000,1.51900000,1.41000000,1.43300000,80940122.37000000,118655956.60226000
1712851200000,1.43300000,1.48200000,1.38900000,1.41500000,44785678.82000000,63637827.48895000
1712865600000,1.41600000,1.42400000,1.35000000,1.37200000,31079926.82000000,43225825.85119000
1712880000000,1.37200000,1.46000000,1.37200000,1.45800000,40807977.90000000,58341784.74083000
1712894400000,1.45700000,1.48400000,1.44200000,1.45900000,38601714.02000000,56537486.32173000
1712908800000,1.45900000,1.47000000,1.39000000,1.42000000,42466943.50000000,60516444.88709000
1712923200000,1.42000000,1.42700000,1.24400000,1.26100000,147922714.84000000,194884126.42188000
1712937600000,1.26000000,1.32100000,1.08000000,1.26400000,220053621.78000000,268620236.69564000
1712952000000,1.26400000,1.31000000,1.16500000,1.27800000,89801164.91000000,111377659.92690000
1712966400000,1.27800000,1.29800000,1.18000000,1.29000000,59580176.12000000,73884753.50285000
