open_time,open,high,low,close,volume,quote_volume
1704067200000,6.92100000,7.16500000,6.73200000,6.87600000,5445983.47000000,37717723.26666000
1704081600000,6.87500000,7.08900000,6.72900000,6.98400000,4178927.85000000,28852723.62664000
1704096000000,6.98200000,7.44100000,6.96600000,7.40700000,6751765.96000000,48650904.75557000
1704110400000,7.40700000,8.12000000,7.20100000,7.84600000,13327469.77000000,102277308.18399000
1704124800000,7.84700000,7.99300000,7.46500000,7.68700000,6934542.75000000,53222346.21177000
1704139200000,7.68800000,7.73700000,7.50200000,7.56900000,2901493.67000000,22118050.56680000
1704153600000,7.57000000,7.82600000,7.38000000,7.54600000,4963254.38000000,37747991.63990000
1704168000000,7.54600000,7.69300000,7.45500000,7.62700000,3177554.85000000,24018337.96629000
1704182400000,7.62600000,7.88400000,7.50800000,7.78800000,5465443.43000000,42075397.10073000
1704196800000,7.79000000,7.80800000,7.22500000,7.38500000,5210927.55000000,39160867.63507000
1704211200000,7.38600000,7.44700000,7.17200000,7.23900000,3991021.33000000,29162856.60668000
1704225600000,7.23900000,7.29100000,7.07900000,7.17400000,2642183.93000000,18947305.91055000
1704240000000,7.17400000,7.31600000,7.14100000,7.26200000,2150560.02000000,15567875.44045000
1704254400000,7.26100000,7.74000000,7.25000000,7.43300000,5302801.58000000,39968708.01863000
1704268800000,7.43400000,7.58900000,6.93100000,7.05700000,4191024.99000000,30812147.68208000
1704283200000,7.05700000,7.06100000,5.66600000,6.53400000,14251523.37000000,92064185.81028000
1704297600000,6.53200000,6.59800000,6.01000000,6.23200000,5685400.66000000,35984040.58826000
1704312000000,6.22700000,6.44100000,6.21500000,6.28800000,2074833.70000000,13148612.84212000
1704326400000,6.28800000,6.45000000,6.15500000,6.37800000,2538939.30000000,16043163.99486000
1704340800000,6.38100000,6.44200000,6.30000000,6.30800000,2255637.74000000,14386859.76053000
1704355200000,6.30800000,6.48000000,6.24500000,6.39000000,2823693.10000000,17949754.90197000
1704369600000,6.39100000,6.64900000,6.34800000,6.62600000,2918884.29000000,18882767.89514000
1704384000000,6.62400000,6.63500000,6.47400000,6.51400000,2105608.54000000,13787466.14371000
1704398400000,6.51500000,6.62700000,6.44000000,6.49500000,1295572.09000000,8467283.96674000
1704412800000,6.49400000,6.55000000,6.03000000,6.29600000,2243705.97000000,14168554.28975000
1704427200000,6.29700000,6.33000000,6.20400000,6.20800000,1446108.32000000,9060938.47928000
1704441600000,6.20900000,6.28300000,5.98600000,6.02800000,2571411.55000000,15784414.89993000
1704456000000,6.03000000,6.15400000,5.82000000,5.92900000,3600691.67000000,21620719.92995000
1704470400000,5.92800000,5.99200000,5.76000000,5.93300000,1882348.73000000,11135116.27870000
1704484800000,5.93300000,6.15400000,5.93100000,6.15300000,1198129.59000000,7212647.26637000
1704499200000,6.15200000,6.29800000,6.06100000,6.18300000,1562219.11000000,9630671.83733000
1704513600000,6.18400000,6.23800000,5.72200000,5.86600000,2756096.59000000,16303818.48750000
1704528000000,5.86500000,6.06300000,5.80800000,6.05500000,1613717.40000000,9559232.06606000
1704542400000,6.05500000,6.15200000,5.92500000,5.99300000,2107737.00000000,12720522.20730000
1704556800000,5.99300000,6.03700000,5.81500000,5.85900000,1386979.62000000,8246031.68534000
1704571200000,5.85900000,5.92900000,5.75000000,5.89400000,1164351.85000000,6801947.58551000
1704585600000,5.89200000,6.00000000,5.88300000,5.91900000,888519.15000000,5283018.26792000
1704600000000,5.91900000,6.04800000,5.91300000,6.00800000,961849.11000000,5756263.67413000
1704614400000,6.00800000,6.07700000,5.86000000,5.96700000,1090243.12000000,6493589.52329000
1704628800000,5.96800000,6.14700000,5.90600000,5.94500000,1817754.56000000,10947435.15997000
1704643200000,5.94200000,5.96300000,5.73100000,5.91000000,1663135.80000000,9711945.28322000
1704657600000,5.90900000,5.93700000,5.50100000,5.62300000,2391748.11000000,13531147.38095000
1704672000000,5.62000000,5.65500000,5.05700000,5.24100000,6084553.89000000,32460666.77815000
1704686400000,5.24100000,5.44400000,5.20700000,5.38500000,2586596.61000000,13783287.56420000
1704700800000,5.38500000,5.54300000,5.33600000,5.53600000,2254623.89000000,12273037.64151000
1704715200000,5.53700000,5.64000000,5.50600000,5.55900000,2903190.24000000,16176902.52943000
1704729600000,5.56100000,5.80000000,5.46900000,5.79200000,2130381.23000000,12032352.97774000
1704744000000,5.79200000,5.89700000,5.71300000,5.85600000,1528325.65000000,8878048.34660000
1704758400000,5.85700000,5.89900000,5.71000000,5.75600000,1509905.23000000,8746122.80470000
1704772800000,5.75700000,5.87000000,5.71000000,5.82400000,1002694.42000000,5816118.28141000
1704787200000,5.82300000,5.83400000,5.58200000,5.61900000,2022520.01000000,11453295.32667000
1704801600000,5.61900000,5.64300000,5.32100000,5.39600000,3254167.78000000,17797546.51974000
1704816000000,5.39700000,5.42600000,5.25000000,5.33300000,1496084.27000000,8008517.52666000
1704830400000,5.33400000,5.55500000,5.21600000,5.49100000,2902453.99000000,15539881.20869000
1704844800000,5.49100000,5.64600000,5.46700000,5.51600000,1709020.81000000,9507022.75839000
1704859200000,5.51800000,5.57800000,5.48900000,5.52500000,821065.73000000,4544461.38055000
1704873600000,5.52700000,5.65400000,5.42300000,5.52600000,1690255.33000000,9357167.91931000
1704888000000,5.52600000,5.54700000,5.25800000,5.46800000,2218954.86000000,11948415.14566000
1704902400000,5.46700000,5.64600000,5.41300000,5.62100000,1635677.68000000,9058933.14027000
1704916800000,5.62300000,6.08900000,5.42000000,5.94200000,4122501.97000000,24145428.92651000
1704931200000,5.94400000,6.21700000,5.88100000,6.15000000,3345097.12000000,20260065.05162000
1704945600000,6.15000000,6.24300000,5.95900000,6.05200000,2154191.74000000,13145044.07897000
1704960000000,6.05200000,6.32900000,6.03800000,6.26400000,2730817.32000000,16987774.09905000
1704974400000,6.26400000,6.42200000,6.06800000,6.13800000,5221332.28000000,32626130.06092000
1704988800000,6.13900000,6.50100000,6.03000000,6.48300000,4035172.52000000,25245910.14734000
1705003200000,6.48300000,6.50600000,6.27300000,6.45900000,1841535.76000000,11758094.65154000
1705017600000,6.46000000,6.48600000,6.18400000,6.18500000,1648101.62000000,10356518.86620000
1705032000000,6.18500000,6.32300000,6.17300000,6.23700000,1431745.57000000,8955813.89917000
1705046400000,6.23700000,6.36000000,6.16100000,6.27500000,1734777.46000000,10851404.33074000
1705060800000,6.27300000,6.35000000,6.03800000,6.07100000,2800494.02000000,17310603.49331000
1705075200000,6.07100000,6.14300000,5.81600000,6.09200000,4374243.94000000,26325232.97580000
1705089600000,6.09200000,6.24800000,5.77500000,5.97300000,2207191.94000000,13265780.26116000
1705104000000,5.97400000,6.03600000,5.71200000,5.87300000,1595957.06000000,9355060.92270000
1705118400000,5.87200000,6.05400000,5.84000000,5.99600000,936529.16000000,5582492.26002000
1705132800000,5.99700000,6.04600000,5.87200000,5.95300000,934197.31000000,5564929.02106000
1705147200000,5.95000000,6.14600000,5.91300000,6.12100000,1522782.50000000,9208932.51631000
1705161600000,6.12200000,6.15800000,5.97900000,6.04600000,1092341.43000000,6614746.61750000
1705176000000,6.04500000,6.09300000,5.98200000,6.02900000,654338.01000000,3951105.21073000
1705190400000,6.02700000,6.04400000,5.91000000,5.99100000,754327.47000000,4512365.97875000
1705204800000,5.98900000,6.05800000,5.93600000,6.03900000,731000.49000000,4385002.09353000
1705219200000,6.04000000,6.25600000,6.02600000,6.08200000,2619109.69000000,16152880.24719000
1705233600000,6.08200000,6.24000000,6.06000000,6.18500000,1931139.10000000,11864752.85365000
1705248000000,6.18400000,6.26600000,5.92500000,5.94100000,2313706.83000000,14028980.78882000
1705262400000,5.94000000,6.01000000,5.79200000,5.81400000,1936099.71000000,11422545.74690000
1705276800000,5.81300000,5.96600000,5.80500000,5.91800000,868236.72000000,5119451.06989000
1705291200000,5.91700000,5.95600000,5.86200000,5.90200000,754364.26000000,4461206.63382000
1705305600000,5.90300000,5.99400000,5.86100000,5.96400000,951735.97000000,5634256.61402000
1705320000000,5.96400000,6.00800000,5.82100000,5.85100000,1434444.15000000,8524401.57536000
1705334400000,5.85000000,6.14000000,5.84300000,6.07000000,1571391.19000000,9485602.30359000
1705348800000,6.06900000,6.09700000,5.87200000,5.92500000,976790.83000000,5828217.26706000
1705363200000,5.92600000,5.99400000,5.91400000,5.95400000,766211.09000000,4559668.53808000
1705377600000,5.95300000,5.95800000,5.86600000,5.92100000,693764.84000000,4099754.89655000
1705392000000,5.92200000,5.96500000,5.84000000,5.87600000,1119731.81000000,6619408.34296000
1705406400000,5.88000000,5.95500000,5.73000000,5.86900000,2427766.11000000,14242550.58375000
1705420800000,5.86900000,5.89000000,5.76400000,5.84200000,871613.08000000,5072744.95607000
1705435200000,5.84000000,5.94300000,5.82500000,5.85700000,765853.26000000,4509656.50675000
1705449600000,5.85700000,5.90800000,5.81300000,5.81300000,616987.64000000,3608852.02688000
1705464000000,5.81500000,5.82800000,5.67300000,5.70200000,1020363.06000000,5877371.55105000
1705478400000,5.70100000,5.76900000,5.65900000,5.73700000,1135048.71000000,6503551.19349000
1705492800000,5.73700000,5.74800000,5.62900000,5.65300000,1744428.74000000,9932248.87751000
1705507200000,5.65300000,5.80900000,5.61200000,5.79700000,1564328.52000000,8946354.24544000
