open_time,open,high,low,close,volume,quote_volume
1704067200000,3.65100000,3.79000000,3.64800000,3.65900000,2432263.50000000,9065625.10560000
1704081600000,3.65800000,3.68700000,3.56700000,3.60400000,1835389.00000000,6628992.38740000
1704096000000,3.60400000,3.64200000,3.57000000,3.60200000,1564687.40000000,5642368.30850000
1704110400000,3.60300000,3.64500000,3.58000000,3.63000000,1594630.50000000,5759596.76880000
1704124800000,3.63000000,3.83000000,3.62500000,3.80800000,3401316.60000000,12682809.17040000
1704139200000,3.80900000,3.83400000,3.75200000,3.79400000,3134219.30000000,11874780.62960000
1704153600000,3.79300000,3.96900000,3.73700000,3.91600000,5407774.00000000,20952496.16460000
1704168000000,3.91700000,4.21000000,3.91000000,4.16400000,7049599.20000000,28462998.09880000
1704182400000,4.16400000,4.33100000,4.09300000,4.15400000,10549560.50000000,44357491.46680000
1704196800000,4.15300000,4.15700000,3.87700000,3.90600000,17946985.90000000,72471368.31650000
1704211200000,3.90600000,3.96800000,3.83600000,3.89400000,8875588.90000000,34737047.36790000
1704225600000,3.89500000,3.99200000,3.85200000,3.92300000,2624837.80000000,10311824.77600000
1704240000000,3.92400000,4.03700000,3.90400000,3.92900000,3700810.50000000,14726716.89020000
1704254400000,3.92900000,4.08900000,3.90200000,3.95700000,4634887.40000000,18589472.06640000
1704268800000,3.95700000,4.04800000,3.77700000,3.81800000,5658712.80000000,22393984.19190000
1704283200000,3.81900000,3.82100000,2.90500000,3.61300000,15632009.40000000,54470437.82610000
1704297600000,3.61400000,3.75500000,3.54300000,3.62300000,4809515.20000000,17487467.47310000
1704312000000,3.62200000,3.98400000,3.62000000,3.77100000,4202274.00000000,16137466.38270000
1704326400000,3.77100000,3.80200000,3.62000000,3.70300000,3365237.70000000,12449457.75990000
1704340800000,3.70300000,3.72800000,3.61200000,3.61500000,2578053.90000000,9455918.25540000
1704355200000,3.61600000,3.71800000,3.57100000,3.69000000,3438728.50000000,12581564.52360000
1704369600000,3.69200000,4.01300000,3.66600000,3.92700000,6285437.40000000,24061204.23300000
1704384000000,3.92700000,3.99000000,3.81900000,3.98600000,3806161.40000000,14817567.08980000
1704398400000,3.98700000,4.04800000,3.88900000,3.91000000,3656061.90000000,14515588.24480000
1704412800000,3.91000000,3.95000000,3.71600000,3.76900000,3361988.60000000,12868084.32170000
1704427200000,3.77000000,3.78400000,3.69000000,3.70100000,2180992.90000000,8141602.03800000
1704441600000,3.70200000,3.76500000,3.61000000,3.63800000,2735299.50000000,10098444.63860000
1704456000000,3.63900000,3.68600000,3.54000000,3.58200000,3086969.30000000,11170196.11770000
1704470400000,3.58000000,3.60300000,3.45100000,3.49000000,2558502.40000000,8991749.34320000
1704484800000,3.49000000,3.56500000,3.47200000,3.55200000,2518830.60000000,8866166.63370000
1704499200000,3.55100000,3.55600000,3.35400000,3.37300000,2965705.50000000,10182967.84530000
1704513600000,3.37200000,3.38700000,3.16700000,3.29300000,5068821.10000000,16527960.13690000
1704528000000,3.29400000,3.37600000,3.25500000,3.33100000,2398184.00000000,7980421.69610000
1704542400000,3.33200000,3.45000000,3.28200000,3.42100000,3779782.80000000,12789441.94830000
1704556800000,3.42000000,3.70800000,3.40800000,3.56600000,6131970.80000000,21891852.03340000
1704571200000,3.56600000,3.58900000,3.39400000,3.47900000,2333465.60000000,8120568.02440000
1704585600000,3.47600000,3.53900000,3.40700000,3.42800000,1907993.90000000,6623907.56190000
1704600000000,3.42800000,3.51900000,3.41600000,3.44200000,2445617.80000000,8470710.52700000
1704614400000,3.44200000,3.46100000,3.33600000,3.37100000,2139481.00000000,7240758.00700000
1704628800000,3.37100000,3.44500000,3.31400000,3.33400000,2089312.00000000,7066220.33250000
1704643200000,3.33400000,3.39700000,3.28000000,3.35600000,1742079.80000000,5813672.75430000
1704657600000,3.35700000,3.36800000,3.15100000,3.21500000,2505295.20000000,8096320.31500000
