open_time,open,high,low,close,volume,quote_volume
1721980800000,7.03000000,7.03000000,6.30300000,6.79700000,2213479.50000000,14864473.78246000
1721995200000,6.79500000,6.93000000,6.68000000,6.82400000,828263.46000000,5640138.19431000
1722009600000,6.81700000,6.92800000,6.75900000,6.85100000,751331.78000000,5151274.72176000
1722024000000,6.85500000,6.86900000,6.74100000,6.77700000,339576.88000000,2309846.45237000
1722038400000,6.77300000,6.77300000,6.52500000,6.71400000,555844.90000000,3698915.95409000
1722052800000,6.71400000,6.81600000,6.65000000,6.80600000,281511.99000000,1896979.78299000
1722067200000,6.80900000,6.85000000,6.71900000,6.72800000,281305.10000000,1911248.77780000
1722081600000,6.72800000,6.80200000,6.52500000,6.55000000,917093.15000000,6101108.83426000
1722096000000,6.55100000,6.64400000,6.48000000,6.53800000,407775.79000000,2670037.09167000
1722110400000,6.53800000,6.65400000,6.35000000,6.46500000,458516.25000000,2989034.38625000
1722124800000,6.46300000,6.55200000,6.35200000,6.47000000,165011.58000000,1068388.20870000
1722139200000,6.46900000,6.50100000,6.38000000,6.50100000,202169.86000000,1299760.63948000
1722153600000,6.49800000,6.52500000,6.37900000,6.40100000,211601.20000000,1363927.57292000
1722168000000,6.40400000,6.53400000,6.15400000,6.29000000,693832.42000000,4413383.60683000
1722182400000,6.29000000,6.37300000,6.25900000,6.29900000,234699.62000000,1481825.66148000
1722196800000,6.29700000,6.37000000,6.20700000,6.26600000,271798.00000000,1711352.86627000
1722211200000,6.26200000,6.50500000,6.22100000,6.45100000,260725.35000000,1673835.63825000
1722225600000,6.45200000,6.60000000,6.41200000,6.54400000,315253.40000000,2051802.56300000
1722240000000,6.54800000,6.66000000,6.50700000,6.61500000,300236.92000000,1980629.36426000
1722254400000,6.61900000,6.62700000,6.31500000,6.45400000,543723.35000000,3519683.21962000
1722268800000,6.45700000,6.51100000,6.11500000,6.24700000,820180.47000000,5143531.56538000
1722283200000,6.24600000,6.27000000,6.11400000,6.15000000,253290.05000000,1571147.37465000
1722297600000,6.15100000,6.29400000,6.10000000,6.25100000,345135.63000000,2132723.48201000
1722312000000,6.25200000,6.27500000,6.12500000,6.23200000,185400.04000000,1149981.68880000
1722326400000,6.23200000,6.30200000,6.15500000,6.19200000,323496.43000000,2014677.68942000
1722340800000,6.19200000,6.23900000,6.11800000,6.17000000,266553.83000000,1643827.10153000
1722355200000,6.17000000,6.18500000,5.93900000,6.00200000,448891.41000000,2718125.84965000
1722369600000,6.00700000,6.06900000,5.92100000,6.00900000,269550.97000000,1618996.54699000
1722384000000,6.01300000,6.18000000,5.98400000,6.00800000,235873.90000000,1431565.09353000
1722398400000,6.00300000,6.05700000,5.73900000,6.00300000,490464.42000000,2901300.57814000
1722412800000,6.00300000,6.02400000,5.81800000,5.91300000,436413.37000000,2574099.51878000
1722427200000,5.91300000,6.06000000,5.86900000,5.87300000,413316.11000000,2462378.35778000
1722441600000,5.87200000,5.98200000,5.76100000,5.80000000,406763.41000000,2395249.44971000
1722456000000,5.80300000,5.81300000,5.70100000,5.74400000,454317.90000000,2607740.93967000
1722470400000,5.74200000,5.89400000,5.70000000,5.71800000,299470.96000000,1731708.04517000
1722484800000,5.71900000,5.76000000,5.50000000,5.55800000,749069.21000000,4215217.61065000
1722499200000,5.55600000,5.70200000,5.48000000,5.49600000,710939.18000000,3953292.15219000
1722513600000,5.49600000,5.64300000,5.15500000,5.18400000,1930133.27000000,10379249.18506000
1722528000000,5.18300000,5.49300000,5.10600000,5.30700000,1274649.22000000,6723284.20348000
1722542400000,5.30700000,5.69100000,5.25800000,5.60400000,541250.03000000,2965024.10775000
1722556800000,5.60200000,5.64900000,5.31100000,5.44800000,399247.05000000,2181122.41406000
1722571200000,5.45300000,5.52900000,5.36900000,5.38100000,291444.90000000,1584391.35107000
1722585600000,5.38600000,5.44900000,5.26500000,5.31400000,387139.38000000,2071759.18820000
1722600000000,5.31700000,5.36400000,4.89200000,5.10700000,1469378.48000000,7506903.38442000
1722614400000,5.10400000,5.13900000,4.88800000,4.91900000,693653.21000000,3479939.61241000
1722628800000,4.92000000,4.98800000,4.83000000,4.93700000,729160.08000000,3588015.82607000
1722643200000,4.93500000,5.00000000,4.75700000,4.99600000,770923.58000000,3751421.64008000
1722657600000,4.99100000,5.16000000,4.90000000,5.13400000,352882.31000000,1778813.29252000
1722672000000,5.13300000,5.15900000,5.01300000,5.14400000,403539.23000000,2057179.76393000
1722686400000,5.14300000,5.33500000,5.00000000,5.02700000,872202.00000000,4528167.28539000
1722700800000,5.02500000,5.11000000,4.76400000,4.81000000,1341633.20000000,6580221.19754000
1722715200000,4.80900000,5.08700000,4.77900000,4.95000000,903436.86000000,4482425.81967000
1722729600000,4.94800000,5.08400000,4.86800000,5.01700000,470226.83000000,2337888.70710000
1722744000000,5.01900000,5.05200000,4.84500000,4.90200000,437042.36000000,2168625.32776000
1722758400000,4.90200000,4.98300000,4.83300000,4.91900000,356931.39000000,1755665.30981000
1722772800000,4.91700000,4.95600000,4.47200000,4.50700000,1103695.77000000,5128168.25060000
1722787200000,4.50400000,4.76100000,4.31700000,4.70300000,1651205.19000000,7496415.77267000
1722801600000,4.70100000,4.76700000,4.49400000,4.53100000,743924.88000000,3466497.85019000
1722816000000,4.53400000,4.60300000,3.82600000,3.94000000,2409567.18000000,9894441.13663000
1722830400000,3.94000000,4.19200000,3.41000000,4.13100000,3696209.93000000,13856579.14392000
1722844800000,4.12800000,4.33900000,3.64500000,3.78800000,1927343.87000000,7684086.90267000
1722859200000,3.79200000,4.36500000,3.52000000,4.31000000,2744555.04000000,10917987.40061000
1722873600000,4.30700000,4.51500000,4.04700000,4.11700000,1705671.69000000,7305506.47374000
1722888000000,4.11800000,4.33100000,4.09400000,4.13100000,752887.39000000,3159652.35727000
1722902400000,4.13200000,4.53200000,4.12200000,4.45200000,955265.69000000,4200154.41006000
1722916800000,4.45600000,4.90000000,4.40100000,4.78800000,1758013.32000000,8232901.40252000
1722931200000,4.78300000,4.79000000,4.52200000,4.61000000,1164484.31000000,5393690.68919000
1722945600000,4.61100000,4.88400000,4.51100000,4.79400000,1668301.49000000,7860929.65011000
1722960000000,4.79000000,4.85900000,4.72900000,4.76700000,897528.66000000,4313571.32459000
1722974400000,4.76200000,4.82500000,4.63800000,4.67900000,645206.27000000,3055506.94104000
1722988800000,4.67600000,4.90400000,4.56400000,4.83000000,740997.25000000,3512265.18479000
1723003200000,4.83000000,4.98100000,4.78000000,4.80400000,789065.15000000,3854936.63367000
1723017600000,4.80300000,4.92700000,4.73900000,4.77700000,656225.78000000,3185220.99204000
1723032000000,4.77800000,4.93400000,4.48400000,4.66400000,1290989.87000000,6042639.08817000
1723046400000,4.66000000,4.68900000,4.36800000,4.39400000,965750.88000000,4338787.08390000
1723060800000,4.39200000,4.47700000,4.29200000,4.37400000,906754.18000000,3971360.99776000
1723075200000,4.37400000,4.72300000,4.27200000,4.62000000,1029441.47000000,4678019.39881000
1723089600000,4.62000000,4.72300000,4.49100000,4.50000000,867444.72000000,3979872.87715000
1723104000000,4.50100000,4.59300000,4.43300000,4.54800000,764513.35000000,3451898.20973000
1723118400000,4.54900000,4.80200000,4.50100000,4.79700000,1260819.69000000,5883510.48798000
1723132800000,4.79600000,4.84600000,4.73900000,4.78400000,717182.54000000,3438521.92969000
1723147200000,4.78400000,5.07600000,4.78200000,5.04400000,1018946.76000000,5063116.23690000
1723161600000,5.04200000,5.12800000,4.93600000,5.03000000,831071.90000000,4178070.57957000
1723176000000,5.02900000,5.03800000,4.83000000,4.89200000,615417.03000000,3028896.27626000
1723190400000,4.89100000,4.95000000,4.81200000,4.89600000,446026.23000000,2176704.46628000
1723204800000,4.89600000,5.00400000,4.80700000,4.81800000,607179.81000000,2968781.31315000
1723219200000,4.81800000,4.90900000,4.80400000,4.83900000,371415.93000000,1802774.07840000
1723233600000,4.83900000,4.92200000,4.80900000,4.85300000,367839.21000000,1784044.43155000
1723248000000,4.85100000,4.91900000,4.76300000,4.79600000,238336.18000000,1150043.09806000
1723262400000,4.79300000,4.82400000,4.75000000,4.82300000,199655.48000000,952357.75647000
1723276800000,4.82300000,4.90000000,4.80000000,4.89500000,231927.76000000,1123198.21065000
1723291200000,4.89600000,4.89900000,4.81000000,4.82800000,238645.55000000,1156778.26808000
1723305600000,4.82800000,4.96000000,4.80000000,4.88500000,407494.07000000,1981970.93361000
1723320000000,4.88400000,4.95000000,4.87500000,4.89900000,228104.09000000,1121113.79146000
1723334400000,4.90300000,5.11900000,4.88700000,5.01500000,438202.07000000,2180996.40918000
1723348800000,5.01600000,5.05000000,4.92000000,4.98800000,430982.38000000,2146503.28657000
1723363200000,4.99000000,5.02700000,4.80300000,4.83100000,672953.56000000,3299087.57477000
1723377600000,4.83000000,4.84000000,4.64000000,4.64600000,526313.96000000,2493306.06737000
1723392000000,4.64600000,4.71400000,4.51500000,4.52200000,572689.05000000,2639996.47082000
1723406400000,4.52400000,4.55800000,4.46700000,4.48100000,521761.25000000,2349646.44518000
1723420800000,4.48100000,4.54800000,4.45900000,4.52300000,227606.51000000,1026780.95090000
1723435200000,4.52200000,4.59300000,4.42500000,4.57700000,379514.61000000,1713189.24466000
1723449600000,4.57900000,4.76000000,4.52700000,4.75200000,738735.52000000,3418845.88329000
1723464000000,4.75100000,4.77500000,4.47900000,4.67100000,876553.49000000,4094795.31313000
1723478400000,4.67200000,4.70400000,4.55500000,4.59600000,439367.05000000,2039425.89927000
1723492800000,4.59800000,4.72900000,4.55000000,4.70800000,230620.70000000,1067529.52532000
1723507200000,4.70600000,4.70900000,4.53900000,4.55300000,412025.48000000,1910464.55040000
1723521600000,4.55200000,4.68300000,4.52400000,4.64500000,274512.35000000,1269653.82097000
1723536000000,4.64500000,4.66300000,4.55800000,4.61400000,230044.21000000,1058888.31438000
1723550400000,4.61400000,4.76400000,4.59200000,4.69200000,438530.51000000,2053527.17559000
