open_time,open,high,low,close,volume,quote_volume
1704067200000,5.16200000,5.22000000,5.11900000,5.12300000,760994.50000000,3941683.68310000
1704081600000,5.12200000,5.15600000,5.05300000,5.12900000,1169434.60000000,5966880.58860000
1704096000000,5.12800000,5.15500000,5.11100000,5.13800000,585074.10000000,3003963.76760000
1704110400000,5.13800000,5.22700000,5.13000000,5.21900000,1191286.20000000,6162402.46460000
1704124800000,5.21900000,5.35400000,5.21900000,5.31200000,1930182.60000000,10200567.20860000
1704139200000,5.31300000,5.35900000,5.09200000,5.34800000,4171098.90000000,21784007.19860000
1704153600000,5.34800000,5.82800000,5.34700000,5.81900000,3911709.70000000,21811499.90860000
1704168000000,5.81900000,5.88000000,5.73300000,5.79300000,3231589.40000000,18736942.21430000
1704182400000,5.79400000,5.93300000,5.76800000,5.81300000,3352883.70000000,19620579.27760000
1704196800000,5.81400000,5.83500000,5.49400000,5.52900000,3786177.80000000,21309060.72350000
1704211200000,5.52800000,5.63400000,5.41600000,5.59100000,3441865.20000000,18991634.35330000
1704225600000,5.59300000,5.76000000,5.54400000,5.71100000,2364021.80000000,13352755.68600000
1704240000000,5.71100000,5.90200000,5.68700000,5.88800000,2203398.50000000,12757342.39770000
1704254400000,5.88800000,6.05900000,5.87200000,5.91300000,3656412.30000000,21788012.58920000
1704268800000,5.91500000,6.16400000,5.70000000,5.79900000,4925584.30000000,29565668.54140000
1704283200000,5.80100000,5.80400000,4.40000000,5.42000000,12055692.00000000,63136796.21530000
1704297600000,5.42100000,5.59800000,5.30000000,5.37500000,5312342.50000000,29007434.90960000
1704312000000,5.37400000,5.42700000,5.30500000,5.35500000,1585841.60000000,8520427.83500000
1704326400000,5.35400000,5.37300000,5.22400000,5.34300000,1788117.30000000,9485618.96410000
1704340800000,5.34400000,5.36400000,5.26500000,5.26600000,1479746.80000000,7881070.90350000
1704355200000,5.26700000,5.29700000,5.17700000,5.27500000,2138552.60000000,11231954.42300000
1704369600000,5.27500000,5.46000000,5.25500000,5.44000000,2682756.80000000,14371643.00760000
1704384000000,5.44100000,5.45100000,5.34000000,5.40300000,2336172.40000000,12622957.87000000
1704398400000,5.40400000,5.54500000,5.39200000,5.39700000,2443917.40000000,13375791.52440000
1704412800000,5.39800000,5.43400000,5.12600000,5.18600000,3068334.00000000,16210787.90480000
1704427200000,5.18700000,5.23000000,5.13000000,5.20800000,1432261.40000000,7432705.85680000
1704441600000,5.20800000,5.26600000,5.09100000,5.10300000,1910105.20000000,9913179.01720000
1704456000000,5.10600000,5.16800000,5.03300000,5.10800000,3085056.80000000,15762947.48250000
