open_time,open,high,low,close,volume,quote_volume
1723104000000,4.35200000,6.47000000,4.35200000,6.16900000,2869883.21000000,17770802.06425000
1723118400000,6.17000000,6.36400000,6.13700000,6.27600000,2131600.93000000,13361362.51279000
1723132800000,6.27500000,6.31600000,6.12200000,6.14300000,1039866.24000000,6452998.08887000
1723147200000,6.14200000,6.28100000,6.05600000,6.21800000,1160304.73000000,7146826.77259000
1723161600000,6.21700000,6.21800000,6.08100000,6.19600000,741859.26000000,4562511.06548000
1723176000000,6.19600000,6.60000000,6.19100000,6.40500000,3968253.33000000,25378857.31091000
1723190400000,6.40500000,6.62400000,6.37700000,6.37900000,1817492.83000000,11768122.93313000
1723204800000,6.37900000,6.83200000,6.37600000,6.74100000,2987793.96000000,19722486.25206000
1723219200000,6.74100000,6.81700000,6.55100000,6.58200000,1235878.62000000,8255584.76657000
1723233600000,6.58000000,6.63000000,6.51400000,6.61900000,476888.27000000,3136139.72679000
1723248000000,6.61900000,6.73400000,6.60500000,6.70600000,698934.22000000,4665026.85798000
1723262400000,6.70500000,6.73900000,6.63900000,6.71100000,601084.26000000,4020153.40707000
1723276800000,6.71100000,6.84600000,6.66800000,6.67900000,2243674.99000000,15144947.56676000
1723291200000,6.67900000,6.73000000,6.59900000,6.60700000,713174.31000000,4751329.08794000
1723305600000,6.60700000,6.72900000,6.60400000,6.70000000,596655.69000000,3988625.19552000
1723320000000,6.70000000,6.72600000,6.66400000,6.67300000,279885.67000000,1872733.15038000
1723334400000,6.67400000,6.72500000,6.63100000,6.68100000,536585.23000000,3584150.38437000
1723348800000,6.68000000,6.68400000,6.57600000,6.59600000,556677.26000000,3689307.90949000
1723363200000,6.59600000,6.63900000,6.43900000,6.47600000,1086444.34000000,7102391.64225000
1723377600000,6.47500000,6.49000000,6.28000000,6.29600000,977113.38000000,6236972.21194000
1723392000000,6.29700000,6.35900000,6.21800000,6.22100000,856003.57000000,5391075.61907000
1723406400000,6.22100000,6.24700000,6.15400000,6.21000000,602719.24000000,3738181.54055000
1723420800000,6.21000000,6.24300000,6.13400000,6.16800000,497904.89000000,3079843.05914000
1723435200000,6.16700000,6.31600000,6.05700000,6.29400000,1048096.56000000,6431810.69084000
1723449600000,6.29400000,6.58600000,6.24300000,6.56000000,1837154.16000000,11768855.19841000
1723464000000,6.56200000,6.63000000,6.35500000,6.50400000,1256419.18000000,8181596.48954000
1723478400000,6.50400000,6.51600000,6.28200000,6.29800000,742833.73000000,4749138.48889000
1723492800000,6.29900000,6.33300000,6.19200000,6.27000000,473860.04000000,2968928.69486000
1723507200000,6.27100000,6.29200000,6.20500000,6.22900000,461540.94000000,2890605.95043000
1723521600000,6.23000000,6.35600000,6.18600000,6.32000000,542428.54000000,3409585.73528000
1723536000000,6.32000000,6.34800000,6.24000000,6.29200000,489503.53000000,3077555.71404000
1723550400000,6.29000000,6.41900000,6.27500000,6.31400000,1338629.80000000,8504126.57928000
1723564800000,6.31400000,6.49500000,6.30500000,6.46600000,1005368.38000000,6461002.83983000
1723579200000,6.46600000,6.53100000,6.43300000,6.45600000,480511.03000000,3113011.14985000
1723593600000,6.45500000,6.65000000,6.39200000,6.63000000,658514.62000000,4304858.46941000
1723608000000,6.63000000,6.79000000,6.57700000,6.76000000,1053308.97000000,7048865.25036000
1723622400000,6.76000000,7.26900000,6.71400000,7.10000000,4058180.19000000,28642784.83945000
1723636800000,7.10100000,7.15700000,6.85500000,6.95600000,3034463.69000000,21170914.08159000
1723651200000,6.95500000,7.08100000,6.92700000,7.01800000,1456596.25000000,10213539.92612000
1723665600000,7.01800000,7.02600000,6.88800000,6.89000000,641712.70000000,4460692.48327000
1723680000000,6.88900000,6.91400000,6.69600000,6.74500000,1166635.38000000,7921362.67356000
1723694400000,6.74600000,6.74700000,6.62700000,6.69700000,903535.84000000,6036501.95766000
1723708800000,6.69700000,6.72500000,6.47500000,6.58300000,1733490.37000000,11423506.98818000
1723723200000,6.58300000,6.72200000,6.56200000,6.70200000,1940651.77000000,12904653.40626000
1723737600000,6.70200000,6.72700000,6.43000000,6.48300000,1689285.15000000,11109126.84043000
1723752000000,6.48300000,6.64900000,6.45300000,6.59700000,894764.63000000,5868916.39438000
1723766400000,6.59800000,6.63500000,6.54400000,6.63400000,1023414.31000000,6747169.35410000
1723780800000,6.63400000,6.88600000,6.62000000,6.64200000,4587394.15000000,30951853.28388000
1723795200000,6.64200000,6.66100000,6.43300000,6.48800000,2757927.31000000,17967621.13406000
1723809600000,6.48800000,6.50600000,6.37600000,6.45800000,1999515.60000000,12875450.86839000
1723824000000,6.45800000,6.57600000,6.45600000,6.54300000,1254486.99000000,8162249.92315000
1723838400000,6.54500000,6.55500000,6.48100000,6.53800000,546581.85000000,3565744.87173000
1723852800000,6.53700000,6.57800000,6.50000000,6.56600000,491125.52000000,3213370.53690000
1723867200000,6.56600000,6.57800000,6.50000000,6.55100000,420670.27000000,2751054.20724000
1723881600000,6.55200000,6.55600000,6.38200000,6.41800000,1336508.85000000,8619882.26464000
1723896000000,6.41800000,6.49000000,6.40800000,6.46500000,655137.46000000,4226103.83784000
1723910400000,6.46400000,6.49400000,6.43300000,6.45700000,400293.56000000,2587337.50217000
1723924800000,6.45800000,6.47700000,6.42700000,6.43800000,229489.04000000,1480115.38102000
1723939200000,6.43900000,6.51600000,6.40900000,6.49900000,374848.79000000,2422294.70195000
1723953600000,6.49900000,6.54700000,6.45800000,6.52300000,552335.78000000,3596494.01875000
1723968000000,6.52400000,6.61400000,6.49000000,6.57700000,843835.21000000,5538623.33174000
1723982400000,6.57700000,6.77700000,6.56800000,6.68100000,1389198.21000000,9274410.62392000
1723996800000,6.68100000,6.79800000,6.61100000,6.79700000,601382.33000000,4022147.38560000
1724011200000,6.79600000,7.10400000,6.75600000,6.88700000,2034562.26000000,14141368.80418000
1724025600000,6.88700000,7.06800000,6.86100000,7.01300000,1441214.59000000,10035502.19423000
1724040000000,7.01300000,7.03400000,6.77100000,6.78200000,1394558.22000000,9614235.72964000
1724054400000,6.78200000,6.85200000,6.70900000,6.78500000,1120292.88000000,7594351.59525000
1724068800000,6.78500000,6.83700000,6.72000000,6.74500000,909666.60000000,6157825.63011000
1724083200000,6.74500000,6.86200000,6.73000000,6.77800000,1285982.40000000,8736249.84857000
1724097600000,6.77800000,6.84700000,6.75900000,6.83200000,1266575.87000000,8633619.12328000
1724112000000,6.83200000,6.93200000,6.80900000,6.83000000,848861.17000000,5820045.41386000
1724126400000,6.83000000,6.88700000,6.80900000,6.86500000,893265.36000000,6120271.98905000
1724140800000,6.86400000,6.87500000,6.80900000,6.81900000,703971.47000000,4814390.08187000
1724155200000,6.81800000,6.84900000,6.59200000,6.62500000,1425228.25000000,9536937.27113000
1724169600000,6.62500000,6.68100000,6.61500000,6.67300000,684256.11000000,4553026.19263000
1724184000000,6.67400000,6.73200000,6.65800000,6.66400000,485836.52000000,3252846.62716000
1724198400000,6.66500000,6.67800000,6.60900000,6.63000000,479542.64000000,3184765.46177000
1724212800000,6.62900000,6.68600000,6.61800000,6.67500000,500987.36000000,3334828.55599000
1724227200000,6.67400000,6.76700000,6.63000000,6.75900000,852876.44000000,5708755.70132000
1724241600000,6.75900000,6.77200000,6.63600000,6.68600000,1063962.56000000,7142437.46926000
1724256000000,6.68600000,6.74500000,6.62600000,6.64300000,819811.05000000,5488494.33952000
1724270400000,6.64400000,6.64900000,6.47900000,6.49600000,1595799.07000000,10449492.33180000
1724284800000,6.49600000,6.60000000,6.46000000,6.59300000,1026702.49000000,6707861.83627000
1724299200000,6.59200000,6.59300000,6.43000000,6.49500000,981880.02000000,6391804.01542000
1724313600000,6.49500000,6.58000000,6.48600000,6.52800000,996854.32000000,6506159.44929000
1724328000000,6.52800000,6.55600000,6.49000000,6.51800000,944999.29000000,6162109.63856000
1724342400000,6.51800000,6.59000000,6.49400000,6.50000000,819464.87000000,5365558.62546000
1724356800000,6.50000000,6.53500000,6.48600000,6.50400000,366701.65000000,2386175.58190000
1724371200000,6.50400000,6.55400000,6.49300000,6.52100000,494358.40000000,3225778.63463000
1724385600000,6.52100000,6.62300000,6.51500000,6.57500000,788750.52000000,5185799.69903000
1724400000000,6.57400000,6.64400000,6.55100000,6.55500000,802045.83000000,5289597.20028000
1724414400000,6.55500000,6.62000000,6.50000000,6.58800000,1210326.45000000,7952774.68412000
1724428800000,6.58800000,6.76000000,6.57400000,6.73300000,1676670.38000000,11192451.71550000
1724443200000,6.73200000,6.81400000,6.68600000,6.70000000,1259571.63000000,8516466.16900000
1724457600000,6.70100000,6.75700000,6.65100000,6.72800000,795510.74000000,5338793.48722000
1724472000000,6.72800000,6.74200000,6.66600000,6.72000000,519507.28000000,3479218.52847000
1724486400000,6.72000000,6.79900000,6.70600000,6.71500000,941155.57000000,6354222.10617000
1724500800000,6.71600000,6.86000000,6.70800000,6.85100000,1217626.37000000,8277944.24904000
1724515200000,6.85000000,6.87800000,6.75500000,6.80500000,903923.41000000,6165398.34740000
1724529600000,6.80500000,6.81400000,5.45200000,5.92700000,33451389.06000000,195424307.63629000
1724544000000,5.92600000,5.99400000,5.56700000,5.81900000,15077288.92000000,87110201.46181000
