open_time,open,high,low,close,volume,quote_volume
1704067200000,0.10764000,0.10832000,0.10699000,0.10711000,49728718.30000000,5358661.97552200
1704081600000,0.10711000,0.10722000,0.10607000,0.10698000,48569195.30000000,5178707.86050700
1704096000000,0.10699000,0.10736000,0.10681000,0.10694000,30854808.50000000,3303915.67234700
1704110400000,0.10694000,0.10724000,0.10672000,0.10720000,29173488.20000000,3120659.29317100
1704124800000,0.10720000,0.10757000,0.10682000,0.10755000,32498821.10000000,3483262.49302000
1704139200000,0.10755000,0.10787000,0.10726000,0.10772000,28776068.00000000,3096837.60197000
1704153600000,0.10771000,0.10831000,0.10756000,0.10827000,45657957.30000000,4932984.61451000
1704168000000,0.10828000,0.10869000,0.10818000,0.10864000,31867945.80000000,3454333.46546800
1704182400000,0.10864000,0.11052000,0.10850000,0.11012000,114384150.60000000,12544141.08410600
1704196800000,0.11012000,0.11034000,0.10848000,0.10874000,73002669.20000000,7986559.45979600
1704211200000,0.10875000,0.10986000,0.10850000,0.10910000,61420551.80000000,6709704.10768000
1704225600000,0.10910000,0.10938000,0.10809000,0.10834000,43523870.40000000,4737641.81517000
1704240000000,0.10834000,0.10966000,0.10819000,0.10959000,42977713.60000000,4681032.62051900
1704254400000,0.10960000,0.10981000,0.10891000,0.10903000,37830294.80000000,4136556.44403700
1704268800000,0.10902000,0.10997000,0.10696000,0.10745000,106968272.70000000,11648686.46503300
1704283200000,0.10745000,0.10746000,0.10350000,0.10528000,333551115.80000000,34889026.00671200
1704297600000,0.10527000,0.10565000,0.10416000,0.10475000,79620780.90000000,8359956.48220800
1704312000000,0.10474000,0.10677000,0.10463000,0.10675000,52427048.20000000,5546392.89766800
1704326400000,0.10675000,0.10781000,0.10665000,0.10777000,74363256.40000000,7980097.33557300
1704340800000,0.10778000,0.10866000,0.10753000,0.10753000,77203901.50000000,8346658.49565500
1704355200000,0.10753000,0.10763000,0.10628000,0.10677000,72329119.10000000,7738170.69845600
1704369600000,0.10676000,0.10757000,0.10655000,0.10737000,62814017.80000000,6724750.62229400
1704384000000,0.10736000,0.10742000,0.10683000,0.10686000,40228361.30000000,4310610.02916800
1704398400000,0.10686000,0.10743000,0.10684000,0.10696000,38718916.60000000,4147580.04575200
1704412800000,0.10697000,0.10711000,0.10500000,0.10549000,73194703.90000000,7764180.60669400
1704427200000,0.10549000,0.10602000,0.10528000,0.10587000,36231176.80000000,3825466.55160700
1704441600000,0.10587000,0.10634000,0.10453000,0.10474000,94794395.00000000,10002005.90845700
1704456000000,0.10474000,0.10496000,0.10355000,0.10376000,75323617.50000000,7854013.91572600
1704470400000,0.10375000,0.10410000,0.10329000,0.10392000,50753682.90000000,5263303.17413800
1704484800000,0.10392000,0.10450000,0.10389000,0.10438000,31341562.90000000,3263645.92131200
1704499200000,0.10438000,0.10439000,0.10361000,0.10361000,26464951.80000000,2751301.03057700
1704513600000,0.10361000,0.10363000,0.10177000,0.10275000,94453346.40000000,9684553.21404700
1704528000000,0.10275000,0.10391000,0.10267000,0.10366000,52635829.10000000,5436563.83955100
1704542400000,0.10367000,0.10423000,0.10355000,0.10412000,38943681.90000000,4047699.28155700
1704556800000,0.10411000,0.10428000,0.10374000,0.10393000,25825915.00000000,2685830.29056300
1704571200000,0.10394000,0.10400000,0.10344000,0.10387000,21801599.00000000,2261930.54869800
1704585600000,0.10386000,0.10402000,0.10334000,0.10352000,24839712.40000000,2577127.94670500
1704600000000,0.10351000,0.10410000,0.10341000,0.10405000,28429485.80000000,2953783.41161000
1704614400000,0.10406000,0.10408000,0.10338000,0.10369000,28115055.50000000,2913858.95420200
1704628800000,0.10368000,0.10408000,0.10344000,0.10367000,31891147.90000000,3308795.00743500
