open_time,open,high,low,close,volume,quote_volume
1704067200000,7.22200000,7.36200000,7.19600000,7.21800000,273203.95000000,1991016.54569000
1704081600000,7.21500000,7.30600000,7.13900000,7.29800000,181037.09000000,1306954.25736000
1704096000000,7.30100000,7.34800000,7.25000000,7.32000000,156148.74000000,1140305.21053000
1704110400000,7.31800000,7.52500000,7.27500000,7.49100000,569554.79000000,4206697.60428000
1704124800000,7.49000000,7.61700000,7.43600000,7.61000000,341201.09000000,2561449.55573000
1704139200000,7.61100000,7.64400000,7.51400000,7.60000000,424680.97000000,3221038.24329000
1704153600000,7.60300000,7.72300000,7.55900000,7.63800000,518181.44000000,3963393.11091000
1704168000000,7.63800000,7.70500000,7.56000000,7.56600000,352241.53000000,2684247.60145000
1704182400000,7.56600000,7.68600000,7.45900000,7.50200000,418279.61000000,3169448.80690000
1704196800000,7.50300000,7.54800000,7.22900000,7.29800000,718513.22000000,5295449.28917000
1704211200000,7.29200000,7.35600000,7.23500000,7.26400000,424365.10000000,3098366.53286000
1704225600000,7.26400000,7.32100000,7.14500000,7.17500000,417107.80000000,3002910.48321000
1704240000000,7.17600000,7.29300000,7.17200000,7.23500000,352261.64000000,2549337.23402000
1704254400000,7.23500000,7.38000000,7.22700000,7.25700000,740543.06000000,5406398.02556000
1704268800000,7.25600000,7.36100000,7.03700000,7.10000000,639604.09000000,4616929.25118000
1704283200000,7.10200000,7.10500000,5.87900000,6.59900000,3218675.13000000,21003581.27098000
1704297600000,6.60100000,6.63000000,6.23700000,6.35600000,919080.28000000,5944317.27082000
1704312000000,6.34900000,6.48500000,6.34100000,6.43300000,367069.72000000,2358368.31796000
1704326400000,6.43100000,6.51600000,6.36300000,6.50800000,346326.58000000,2239068.80412000
1704340800000,6.50800000,6.58100000,6.47700000,6.50000000,291634.26000000,1905900.70530000
1704355200000,6.50000000,6.57800000,6.42200000,6.55800000,342932.61000000,2235750.65084000
1704369600000,6.56100000,6.71600000,6.55200000,6.66100000,475429.48000000,3157969.27554000
1704384000000,6.66200000,6.68400000,6.50200000,6.50500000,474210.18000000,3134585.41903000
1704398400000,6.50500000,6.62100000,6.49800000,6.53000000,309713.74000000,2028238.96168000
1704412800000,6.53200000,6.63900000,6.29000000,6.55100000,803598.41000000,5217466.42028000
1704427200000,6.54200000,6.59400000,6.49500000,6.52300000,370059.61000000,2423195.41602000
1704441600000,6.52400000,6.58200000,6.35900000,6.39700000,416495.97000000,2699325.08610000
1704456000000,6.39700000,6.45600000,6.26000000,6.32200000,388027.83000000,2465396.75268000
