open_time,open,high,low,close,volume,quote_volume
1704067200000,3.63300000,3.77700000,3.54600000,3.57100000,1397047.50000000,5120270.29620000
1704081600000,3.57000000,3.61800000,3.52200000,3.58000000,1051350.00000000,3752403.71750000
1704096000000,3.57900000,3.58700000,3.52900000,3.55900000,782428.40000000,2785737.34160000
1704110400000,3.55900000,3.57400000,3.48200000,3.53700000,1151287.10000000,4063466.84750000
1704124800000,3.53600000,3.59900000,3.49000000,3.59600000,930866.00000000,3298360.60430000
1704139200000,3.59600000,3.63800000,3.55500000,3.61500000,1328237.50000000,4783576.40380000
1704153600000,3.61600000,3.78700000,3.58200000,3.77700000,2502633.50000000,9211900.36020000
1704168000000,3.77800000,3.83000000,3.71900000,3.80500000,1562813.90000000,5901029.48800000
1704182400000,3.80500000,3.92000000,3.70600000,3.73600000,2934129.00000000,11157074.17950000
1704196800000,3.73700000,3.85400000,3.55500000,3.59900000,3456834.80000000,12728933.18370000
1704211200000,3.59900000,3.65700000,3.55000000,3.56600000,1559479.90000000,5606788.70860000
1704225600000,3.56600000,3.59500000,3.51000000,3.57500000,1330207.50000000,4731402.22080000
1704240000000,3.57500000,3.77900000,3.57400000,3.71800000,2194073.70000000,8097416.97980000
1704254400000,3.71900000,3.85400000,3.70800000,3.72700000,2175316.80000000,8245497.13510000
1704268800000,3.72700000,3.85700000,3.59600000,3.62500000,2463417.50000000,9199438.82770000
1704283200000,3.62600000,3.63000000,2.50300000,3.13900000,11928214.50000000,37416920.99470000
1704297600000,3.14000000,3.18000000,3.00000000,3.05200000,2930809.20000000,9088125.38540000
1704312000000,3.05200000,3.17500000,3.01800000,3.07900000,1895078.80000000,5859933.33930000
1704326400000,3.07900000,3.16700000,2.98700000,3.12300000,2776995.70000000,8548788.30100000
1704340800000,3.12300000,3.16100000,3.05000000,3.07000000,1637399.70000000,5096726.13240000
1704355200000,3.07000000,3.19100000,3.04000000,3.11200000,3406946.90000000,10601409.22200000
1704369600000,3.11100000,3.23900000,3.09600000,3.19400000,2411703.30000000,7621134.48680000
1704384000000,3.19300000,3.21600000,3.14800000,3.17700000,1045903.70000000,3326562.58270000
1704398400000,3.17800000,3.24900000,3.17400000,3.20200000,864010.70000000,2769792.10710000
1704412800000,3.20300000,3.24200000,2.99200000,3.06700000,2328460.30000000,7251762.18180000
1704427200000,3.06700000,3.11600000,3.02900000,3.07600000,1033075.20000000,3181636.37420000
1704441600000,3.07600000,3.11800000,2.94600000,3.04500000,1210865.10000000,3702545.88500000
1704456000000,3.04400000,3.06800000,2.89000000,2.96300000,1742998.00000000,5219373.32400000
1704470400000,2.96300000,2.99600000,2.86800000,2.91900000,1733877.70000000,5070443.72250000
1704484800000,2.92000000,2.98200000,2.85600000,2.98200000,884776.40000000,2575144.88480000
1704499200000,2.98200000,2.98400000,2.85800000,2.87200000,1183777.70000000,3429308.29210000
1704513600000,2.87000000,2.88300000,2.63600000,2.77000000,3257775.90000000,8993789.32550000
1704528000000,2.76900000,2.80300000,2.74000000,2.78200000,1371470.60000000,3806549.98240000
1704542400000,2.78200000,2.83400000,2.74500000,2.81000000,1020096.20000000,2846604.01560000
1704556800000,2.80900000,2.85300000,2.76600000,2.79100000,996072.80000000,2808037.81370000
1704571200000,2.79200000,2.81200000,2.72500000,2.77800000,637764.10000000,1768471.70970000
1704585600000,2.77700000,2.83500000,2.76000000,2.79900000,1257878.60000000,3519545.51740000
1704600000000,2.79900000,2.85200000,2.79000000,2.80700000,727808.40000000,2047427.80420000
1704614400000,2.80700000,2.83500000,2.72000000,2.74000000,1153069.30000000,3193835.25940000
1704628800000,2.73900000,2.79700000,2.70100000,2.72900000,1231311.90000000,3376609.44880000
1704643200000,2.72800000,2.75900000,2.66000000,2.75300000,746837.80000000,2028579.13660000
1704657600000,2.75300000,2.77100000,2.59000000,2.63000000,1037965.50000000,2754799.93770000
1704672000000,2.63100000,2.65800000,2.40300000,2.49200000,4236359.00000000,10661818.86540000
1704686400000,2.49300000,2.62100000,2.47400000,2.58100000,1892261.20000000,4838172.54150000
1704700800000,2.58100000,2.63500000,2.54600000,2.62600000,1289848.60000000,3343687.60560000
1704715200000,2.62700000,2.76600000,2.62700000,2.75400000,2681744.70000000,7208049.57050000
